qp_position,time,qp_velocity,qp_acceleration,qp_jerk
24.6,12.4862,2.78742,-0.257594,-0.557484
24.7,12.5222,2.77816,-0.277594,-0.555633
24.8,12.5584,2.76815,-0.297594,-0.553631
24.9,12.5946,2.75738,-0.317594,-0.551476
25,12.631,2.74584,-0.337594,-0.549168
25.1,12.6676,2.73352,-0.357594,-0.546704
25.2,12.7044,2.7204,-0.377594,-0.544081
25.3,12.7413,2.70649,-0.397594,-0.541298
25.4,12.7785,2.69176,-0.417594,-0.538352
25.5,12.8158,2.6762,-0.437594,-0.53524
25.6,12.8534,2.6598,-0.457594,-0.53196
25.7,12.8913,2.64254,-0.477594,-0.528508
25.8,12.9294,2.6244,-0.497594,-0.52488
25.9,12.9678,2.60537,-0.517594,-0.521075
26,13.0064,2.58543,-0.537594,-0.517086
26.1,13.0454,2.56455,-0.557594,-0.512911
26.2,13.0848,2.54272,-0.577594,-0.508544
26.3,13.1245,2.5199,-0.597594,-0.50398
26.4,13.1645,2.49607,-0.617594,-0.499214
26.5,13.205,2.47121,-0.637594,-0.494241
26.6,13.2459,2.44527,-0.657594,-0.489054
26.7,13.2872,2.41823,-0.677594,-0.483645
26.8,13.3291,2.39004,-0.697594,-0.478008
26.9,13.3714,2.36067,-0.717594,-0.472135
27,13.4143,2.33008,-0.737594,-0.466016
27.1,13.4579,2.2982,-0.757594,-0.459641
27.2,13.502,2.265,-0.777594,-0.453
27.3,13.5468,2.23041,-0.797594,-0.446081
27.4,13.5924,2.19435,-0.817594,-0.438871
27.5,13.6388,2.15677,-0.837594,-0.431355
27.6,13.686,2.11758,-0.857594,-0.423516
27.7,13.7342,2.07669,-0.877594,-0.415338
27.8,13.7833,2.03399,-0.897594,-0.406798
27.9,13.8336,1.98937,-0.917594,-0.397874
28,13.8851,1.9427,-0.937594,-0.38854
28.1,13.9379,1.89382,-0.957594,-0.378764
28.2,13.9921,1.84256,-0.977594,-0.368513
28.3,14.048,1.78872,-0.997594,-0.0430378
28.4,14.1058,1.73205,-1,-5.19484e-08
28.5,14.1655,1.67332,-1,-7.5509e-08
28.6,14.2276,1.61245,-1,-9.02693e-08
28.7,14.2921,1.54919,-1,-1.02925e-07
28.8,14.3595,1.48324,-1,-1.21305e-07
28.9,14.4302,1.41421,-1,-1.47739e-07
29,14.5048,1.34164,-1,-1.7208e-07
29.1,14.5838,1.26491,-1,-1.9771e-07
29.2,14.6684,1.18322,-1,-2.29656e-07
29.3,14.7596,1.09545,-1,-4.0949e-08
29.4,14.8596,1,-1,0
29.5,14.9714,0.894428,-1,0
29.6,15.1005,0.774598,-1,0
29.7,15.2587,0.632457,-1,0
29.8,15.4823,0.447215,-1,0.0894436
29.9,16.4823,0,-0.98,0.0894436
