qp_position,time,qp_velocity,qp_acceleration,qp_jerk
18.4,9.04327,2,7.10543e-13,-1.42109e-11
18.5,9.09327,2,0,0
18.6,9.14327,2,0,0
18.7,9.19327,2,0,0.8004
18.8,9.24327,2,0.04002,0.800396
18.9,9.29322,2.002,0.0800398,0.800383
19,9.34307,2.00599,0.120019,0.800356
19.1,9.39278,2.01197,0.159917,0.800313
19.2,9.44228,2.0199,0.199695,0.800248
19.3,9.49155,2.02976,0.239313,0.80016
19.4,9.54053,2.04152,0.278734,0.800047
19.5,9.58919,2.05513,0.317923,0.799907
19.6,9.63749,2.07054,0.356846,0.799742
19.7,9.68539,2.0877,0.39547,0.79955
19.8,9.73286,2.10656,0.433769,0.799333
19.9,9.77987,2.12705,0.471714,0.799094
20,9.8264,2.14911,0.509282,0.798834
20.1,9.87243,2.17268,0.546452,0.798555
20.2,9.91793,2.19769,0.583206,0.798261
20.3,9.9629,2.22407,0.619529,0.797954
20.4,10.0073,2.25175,0.655407,0.797638
20.5,10.0512,2.28067,0.69083,0.797314
20.6,10.0944,2.31076,0.72579,0.796987
20.7,10.1371,2.34196,0.76028,0.245349
20.8,10.1792,2.3742,0.770756,-0.8
20.9,10.2208,2.40645,0.737061,-0.799675
21,10.2618,2.43689,0.70383,-0.798464
21.1,10.3024,2.4656,0.671064,-0.796452
21.2,10.3425,2.49267,0.638762,-0.793717
21.3,10.3822,2.51816,0.60692,-0.790329
21.4,10.4216,2.54215,0.575535,-0.786356
21.5,10.4606,2.56469,0.544602,-0.781859
21.6,10.4992,2.58584,0.514116,-0.777022
21.7,10.5376,2.60564,0.484067,-0.772081
21.8,10.5757,2.62416,0.454436,-0.767043
21.9,10.6136,2.64142,0.425206,-0.761917
22,10.6512,2.65746,0.396361,-0.756709
22.1,10.6886,2.67234,0.367886,-0.751424
22.2,10.7258,2.68607,0.339768,-0.746068
22.3,10.7629,2.69869,0.311992,-0.740645
22.4,10.7998,2.71023,0.284547,-0.735159
22.5,10.8366,2.7207,0.257422,-0.729614
22.6,10.8732,2.73015,0.230605,-0.724011
22.7,10.9097,2.73858,0.204086,-0.718354
22.8,10.9461,2.74602,0.177855,-0.712644
22.9,10.9824,2.75249,0.151903,-0.706884
23,11.0187,2.75801,0.126222,-0.701075
23.1,11.0549,2.76258,0.100802,-0.695219
23.2,11.0911,2.76623,0.0756364,-0.689315
23.3,11.1272,2.76896,0.0507174,-0.683366
23.4,11.1633,2.77079,0.0260379,-0.677372
23.5,11.1993,2.77173,0.00159099,-0.671332
23.6,11.2354,2.77179,-0.0226297,-0.665248
23.7,11.2715,2.77097,-0.0466304,-0.65912
23.8,11.3076,2.76929,-0.070417,-0.652947
23.9,11.3438,2.76674,-0.0939952,-0.646729
24,11.3799,2.76334,-0.11737,-0.640467
24.1,11.4162,2.75909,-0.140548,-0.641375
24.2,11.4525,2.75399,-0.163793,-0.645688
24.3,11.4889,2.74804,-0.187239,-0.649923
24.4,11.5254,2.74122,-0.210889,-0.654077
24.5,11.562,2.73351,-0.23475,-0.658147
24.6,11.5987,2.72491,-0.258827,-0.662128
24.7,11.6355,2.7154,-0.283126,-0.666018
24.8,11.6724,2.70495,-0.307654,-0.669813
24.9,11.7096,2.69355,-0.332416,-0.673506
25,11.7469,2.68118,-0.35742,-0.677094
25.1,11.7844,2.66782,-0.382674,-0.680569
25.2,11.822,2.65344,-0.408184,-0.683927
25.3,11.8599,2.63801,-0.433959,-0.687159
25.4,11.8981,2.62151,-0.460008,-0.690258
25.5,11.9365,2.6039,-0.486338,-0.693215
25.6,11.9752,2.58516,-0.512961,-0.696019
25.7,12.0142,2.56524,-0.539884,-0.698661
25.8,12.0535,2.5441,-0.56712,-0.701128
25.9,12.0931,2.52171,-0.594679,-0.703407
26,12.1332,2.49802,-0.622573,-0.705481
26.1,12.1736,2.47297,-0.650815,-0.707335
26.2,12.2145,2.44651,-0.679417,-0.708949
26.3,12.2558,2.41858,-0.708395,-0.7103
26.4,12.2977,2.38911,-0.737764,-0.711365
26.5,12.3401,2.35803,-0.767539,-0.712116
26.6,12.3831,2.32525,-0.797738,-0.712519
26.7,12.4267,2.29069,-0.828381,-0.71254
26.8,12.4711,2.25424,-0.859487,-0.712135
26.9,12.5162,2.21578,-0.891078,-0.711256
27,12.5622,2.17519,-0.923178,-0.709846
27.1,12.6091,2.13233,-0.955811,-0.70784
27.2,12.657,2.08702,-0.989007,-0.229428
27.3,12.7061,2.03908,-1,0
27.4,12.7563,1.98944,-1,0
27.5,12.8079,1.93852,-1,0
27.6,12.8609,1.88623,-1,0
27.7,12.9155,1.83245,-1,0
27.8,12.9718,1.77704,-1,0
27.9,13.0299,1.71984,-1,0
28,13.0901,1.66068,-1,0
28.1,13.1527,1.59933,-1,0
28.2,13.2178,1.53553,-1,0
28.3,13.2859,1.46897,-1,0
28.4,13.3573,1.39924,-1,0
28.5,13.4327,1.32585,-1,0.611508
28.6,13.5129,1.24814,-0.953878,0.599907
28.7,13.5984,1.16923,-0.905814,0.583872
28.8,13.6902,1.089,-0.855877,0.566832
28.9,13.7895,1.00735,-0.803827,0.548632
29,13.8977,0.924114,-0.749364,0.529076
29.1,14.0169,0.839115,-0.692112,0.507915
29.2,14.1498,0.752125,-0.631582,0.484817
29.3,14.3007,0.662854,-0.567122,0.459331
29.4,14.4759,0.570921,-0.497826,0.430827
29.5,14.686,0.4758,-0.422364,0.398375
29.6,14.9515,0.376713,-0.338637,0.360559
29.7,15.3186,0.272369,-0.242925,0.31302
29.8,15.9436,0.16,-0.128,0.8
29.9,16.9436,0,0.372,0.8
